,Hotels,Prices,Descriptions,Full_Descriptions
30,Acta Splendid,"€ 1,117",Beds: 1 double or 2 singles,"Acta Splendid is located in central Barcelona, 5 minutes’ walk from Plaza Catalunya and Las Ramblas. It offers 24-hour reception and air-conditioned rooms with satellite TV and free Wi-Fi.

Staff at the Hotel Splendid’s 24-hour reception can help booking tickets for guided tours, live shows and other events. There is also a computer in the lobby that guests can use for free.

There is a public car park 450 metres from the hotel, around a 7-minute walk. You can walk to the Palau de la Música Catalana, a Modernist auditorium and UNESCO World Heritage Site, in 15 minutes.

Gluten-free breakfasts are available upon request."
31,Catalonia Barcelona 505,"€ 1,019",Beds: 1 double or 2 singles,"Catalonia Barcelona 505 offers spacious rooms with free Wi-Fi and an outdoor swimming pool in Barcelona’s Sant Gervasi area. From El Putxet Train Station, 400 metres away, you can reach the centre in 15 minutes.

The hotel is close to important medical centres, such as the Teknon Clinic, Sant Jordi Clinic, Dexeus and Barraquer. It is also next to the Blue Tram, which takes you to the cable car for Tibidabo.

Air-conditioned rooms have a satellite TV, a safe and minibar. There is a work desk, and the private bathroom comes with a hairdryer and amenities.

The restaurant C50&5 offers international cuisine. There is a bar and room service is available.

You can hire a car from the 24-hour front desk. On-site parking is offered for an additional charge, and the hotel has easy access to the B20 Motorway."
32,Catalonia Rigoletto,"€ 1,114",Beds: 1 double or 2 singles,"The stylish Catalonia Rigoletto is set 500 metres from FC Barça’s Camp Nou stadium and 5 minutes’ walk from Maria Cristina Metro Station. It offers an outdoor pool and rooms with free WiFi and flat-screen TVs.

The Rigoletto’s spacious rooms are air conditioned and decorated with dark woods and luxurious fabrics. All rooms have satellite TV, free smartphone, a minibar and safety deposit box.

A buffet breakfast is on offer in the dining room and Mediterranean cuisine is served in the stylish La Traviata restaurant. There is also a bar in the hotel featuring attractive art work.

Sights including Las Ramblas and Gaudí’s Casa Batlló can be reached in 15 minutes, by Metro. Sants Railway Station, where there is an airport train connection, is just 1.5 km from the Rigoletto."
33,Catalonia Born,"€ 1,244",Beds: 1 double or 2 singles,"Set in a 19th-century building in Barcelona’s El Born district, Catalonia Born offers a rooftop pool, an attractive central courtyard and free Wi-Fi. Arc de Triomf Metro Station is 250 metres away.

The classic rooms at Catalonia Born Hotel come with an elegant marble bathroom. They also include a satellite TV and centrally controlled heating or air conditioning, depending on the season.

A buffet breakfast is served, and the snack bar is open for lunch and dinner. There is also a bar in the lobby.

Located minutes from França Train Station, the hotel is well-connected to the rest of the city and its surroundings. Car rental is also available from the tour desk."
34,Catalonia Albeniz,"€ 1,150",Beds: 1 double or 2 singles,"Catalonia Albeniz offers spacious, air-conditioned rooms with free WiFi and satellite TV. It is situated 150 metres from Clot Train Station, and a 15-minute walk from Gaudí’s Sagrada Familia Church.

The property has a gym and an outdoor pool. You can also use the luggage storage facility on site at the Albeniz.

The varied buffet breakfast at the Catalonia Albeniz includes typical local dishes, such as potato omelette and bread with tomato.

The Albeniz offers bright, modern rooms with simple décor and wooden floors. Each room includes a minibar and a marble bathroom with a hair dryer, plus a safe. All hotel rooms have smart TVs, which are equipped with Chromecast app.

Catalonia Albeniz is just 700 metres from the shops and restaurants of Glòries Shopping Centre, while Encants Flea Market is a 5-minute walk away. Metro services and direct airport trains are available from nearby Clot Station."
35,Hotel Lleó,"€ 1,289",Beds: 1 double or 2 singles,"Hotel Lleó is situated next to Barcelona's Plaza Catalunya and the famous Las Ramblas. It has a small rooftop pool with sun terrace and loungers, free Wi-Fi access and rooms with flat-screen TVs.

The Hotel Lleó is elegantly decorated with polished floors, glass features and attractive lighting throughout. Its air-conditioned rooms are spacious and have fridges and satellite TV.

The restaurant serves a range of Mediterranean cuisine. It also serves a daily breakfast from 07:00 until 11:00.

The Lleó has a lounge area and snack bar, where guests can relax with a drink.

Hotel Lleó is within walking distance of many of Barcelona's attractions and Las Ramblas is just a minute's walk away. The nearest Metro Station is 100 metres from the hotel and connects guests to sights such as Gaudí’s Casa Batlló and the Sagrada Familia, within 10 minutes."
36,Magatzem 128,"€ 1,130",1 double bed,"Offering city views, Magatzem 128 is an accommodation situated in Barcelona, 1.4 km from Magic Fountain of Montjuic and 1.8 km from Passeig de Gracia. It is set 1.4 km from Sants Railway Station and offers a lift. The guest house has family rooms as well as facilities for disabled guests.

All units feature air conditioning and a cable flat-screen TV. Featuring a private bathroom with a shower and a hair dryer, units at the guest house also have free WiFi. At the guest house, units are equipped with bed linen and towels.

Popular points of interest near the guest house include Passeig de Gracia Metro Station, Casa Batllo and Plaça Catalunya. The nearest airport is Barcelona El Prat Airport, 11 km from Magatzem 128."
37,Catalonia Gracia,"€ 1,199",Beds: 1 double or 2 singles,"This hotel is located next to Avinguda Diagonal and Passeig de Gràcia, ideal for shopping. Guests can easily access Plaza Cataluña and the city’s historic gothic quarter. Free Wi-Fi is available.

Situated along the modernist route, Hotel Catalonia Gracia is surrounded by much of the interesting architecture that Barcelona is famous for, such as Gaudí and Domenech i Muntaner's key buildings, including La Pedrera.

A buffet breakfast is available at the on-site restaurant; room service is also available.

Guests can easily enjoy this cosmopolitan city as Hotel Catalonia Gracia is within walking distance of Barcelona’s many attractions. As well as the excellent public transport links providing swift access to the entire city and the surrounding area, the hotel offers great value for money. The hotel also includes meeting amenities and conference rooms available for business events and banquets."
38,Catalonia Park Putxet,€ 894,Beds: 1 double or 2 singles,"Featuring a sunroof terrace with a pool and views over Barcelona, Catalonia Park Putxet offers tranquil rooms and a modern fitness centre onsite. There is free WiFi available throughout.

The Park Putxet has simple, bright décor. Each air-conditioned room comes with a mini fridge with complimentary water, a satellite TV and a fully equipped bathroom with a hairdryer.

You can enjoy a varied buffet breakfast with Show Cooking. Light meals are prepared at the hotel snack bar; and room service, including sushi room service, is available.

The hotel is located in a residential area. There is a wide selection of cafés, bars and restaurants in the neighbouring district of Gràcia, which is just 15 minutes’ walk from the hotel. Gaudi's famous Park Guell is just 600 metres away. The closest metro station is Lesseps, 600 metres away."
39,Mercure Barcelona Condor,€ 954,2 single beds,"This casual-style, urban hotel is set in Barcelona’s quiet Sarrià-Sant Gervasi district, 10 minutes’ from the centre via nearby Sant Gervasi FGC Train Station. It offers modern and contemporary rooms with views.

The bright, air-conditioned rooms at Mercure Barcelona Condor come with free WiFi, satellite TV, a work desk, minibar, safe and private bathroom with hairdryer. Some rooms also have a terrace.

A buffet breakfast is served daily at the hotel's restaurant. Room service and laundry facilities are also available.

When booking 5 rooms or more, different policies and additional supplements may apply.

Guests have free access to the fitness centre which overlooks the Tibidabo mountain and the city. Massage services are available for a supplement. Events and meetings can also be catered for.


There are various bars, shops and pleasant squares within 5 minutes’ walk in the Gracia district. The famous Passeig de Gracia Boulevard, with Gaudi’s La Pedrera, as well as Park Güell are just 15 minutes away by foot.

Diagonal Avenue , a popular shopping area, is just 750 metres away from Mercure Barcelona Condor and Muntaner FGC Station is a 3-minute walk away."
