Destination,Month,RoomType,Stars,PricePerNight
"Barcelona",6,"Standard",0,13
"Barcelona",6,"Standard",0,1825
"Barcelona",6,"Standard",0,15
"Barcelona",6,"Standard",0,1603
"Barcelona",6,"Standard",0,1639
"Barcelona",6,"Standard",0,911
"Barcelona",6,"Standard",0,914
"Barcelona",6,"Standard",0,940
"Barcelona",6,"Standard",0,1561
"Barcelona",6,"Standard",0,1479
"Barcelona",6,"Standard",0,1744
"Barcelona",6,"Standard",0,1577
"Barcelona",6,"Standard",0,1175
"Barcelona",6,"Standard",0,1383
"Barcelona",6,"Standard",0,2581
"Barcelona",6,"Standard",0,150
"Barcelona",6,"Standard",0,0.5
"Barcelona",6,"Standard",0,4184
"Barcelona",6,"Standard",0,1776
"Barcelona",6,"Standard",0,3143
"Barcelona",6,"Standard",0,1815
"Barcelona",6,"Standard",0,1502
"Barcelona",6,"Standard",0,2351
"Barcelona",6,"Standard",0,14
"Barcelona",6,"Standard",0,1194
"Barcelona",6,"Standard",0,2134
"Barcelona",6,"Standard",0,2018
"Barcelona",6,"Standard",0,1859
"Barcelona",6,"Standard",0,3215
"Barcelona",6,"Standard",0,14
"Barcelona",6,"Standard",0,1550
"Barcelona",6,"Standard",0,1550
"Barcelona",6,"Standard",0,1489
"Barcelona",6,"Standard",0,1448
"Barcelona",6,"Standard",0,1569
"Barcelona",6,"Standard",0,2134
"Barcelona",6,"Standard",0,1522
"Barcelona",6,"Standard",0,1734
"Barcelona",6,"Standard",0,600
"Barcelona",6,"Standard",0,11
"Barcelona",6,"Standard",0,1194
"Barcelona",6,"Standard",0,1472
"Barcelona",6,"Standard",0,1922
"Barcelona",6,"Standard",0,979
"Barcelona",6,"Standard",0,1733
"Barcelona",6,"Standard",0,13
"Barcelona",6,"Standard",0,2176
"Barcelona",6,"Standard",0,1987
"Barcelona",6,"Standard",0,1184
"Barcelona",6,"Standard",0,20
"Barcelona",6,"Standard",0,1134
"Barcelona",6,"Standard",0,10
"Barcelona",6,"Standard",0,5857
"Barcelona",6,"Standard",0,500
"Barcelona",6,"Standard",0,5167
"Barcelona",6,"Standard",0,13
"Barcelona",6,"Standard",0,2762
"Barcelona",6,"Standard",0,1571
"Barcelona",6,"Standard",0,14
"Barcelona",6,"Standard",0,3029
